Position,Pan_wt,Dry_wt,phi_n225,phi_n1,phi_n05,phi_00,phi_05,phi_10,phi_15,phi_20,phi_25,phi_30,phi_35,phi_40,dryfines
0,,,0.86,0.28,0.26,0.36,0.83,1.79,5.17,12.06,13.88,2.09,0.27,0.27,0.02
1,,,2.71,2.15,0.78,0.57,0.58,1.31,2.67,6.12,9.76,9.05,1.26,0.3,0.01
2,,,0,0,0,0,0,0.05,0.41,0.41,4.19,19.02,7.25,1.31,0.16
3,,,0,0,0,0.01,0.03,0.04,0.52,0.52,5.13,21.26,9.95,0.15,0.26
4,,,0.07,0.09,0.06,0.01,0,0,0.06,0.16,4.12,19.52,9.13,1.77,0.39
5,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,12.94,6.75,2.6,1.86,1.39,1.54,1.8,2.11,2,2.2,0.99,0.48,0.2
15,,,14.67,4.73,2.16,1.86,1.59,1.98,2.43,2.73,2.36,1.6,0.72,0.53,0.28
16,,,6.42,3.99,2.25,2.08,2.18,3.82,4.78,6.17,4.64,2.14,0.87,0.64,0.44
17,,,2.47,3.87,2.73,2.2,2.09,3.32,6.57,7.25,5.46,2.31,0.68,0.58,0.26
18,,,1.42,6.81,3.3,2.53,2.24,3.17,3.43,4.64,5.47,5.29,0.76,0.64,0.17
